City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,puerto ayora,-0.7393,-90.3518,24.75,75,24,3.13,EC,1731877429
1,rensselaer,42.7168,-73.4829,9.69,53,99,1.17,US,1731877430
2,waitangi,-43.9535,-176.5597,12.68,68,8,2.24,NZ,1731877431
3,iqaluit,63.7506,-68.5145,-3.15,63,75,6.17,CA,1731877433
4,aksu,41.1231,80.2644,6.58,44,98,1.47,CN,1731877434
5,afaahiti,-17.75,-149.2833,24.42,86,100,8.28,PF,1731877435
6,grytviken,-54.2811,-36.5092,0.97,88,87,7.13,GS,1731877436
7,uturoa,-16.7333,-151.4333,26.76,77,100,8.96,PF,1731877437
8,tralee,52.2704,-9.7026,11.91,95,100,6.55,IE,1731877438
9,qaqortoq,60.7167,-46.0333,-5.2,67,100,4.17,GL,1731877440
10,hacienda huancane,-15.8222,-70.8856,9.85,42,98,7.36,PE,1731877441
11,kodiak,57.79,-152.4072,-3.27,43,20,14.4,US,1731877442
12,blackmans bay,-43.0167,147.3167,12.07,71,100,1.79,AU,1731877443
13,avarua,-21.2078,-159.775,26.03,65,40,6.69,CK,1731877444
14,invercargill,-46.4,168.35,16.68,60,99,2.24,NZ,1731877446
15,imranli,39.8754,38.1136,6.26,92,100,3.76,TR,1731877448
16,yellowknife,62.456,-114.3525,-5.33,100,75,7.2,CA,1731877288
17,brandon,27.9378,-82.2859,27.72,56,40,3.6,US,1731877267
18,papatowai,-46.5619,169.4708,15.72,56,66,1.97,NZ,1731877451
19,basco,20.4487,121.9702,26.59,86,100,10.31,PH,1731877452
20,vernon,50.2581,-119.2691,6.91,72,58,2.68,CA,1731877453
21,margaret river,-33.95,115.0667,10.43,76,57,5.74,AU,1731877454
22,mandalgovi,45.7625,106.2708,-6.24,41,0,3.88,MN,1731877456
23,hovd,48.0056,91.6419,-7.69,50,32,1.59,MN,1731877457
24,stanley,54.868,-1.6985,0.29,94,0,2.57,GB,1731877459
25,port-aux-francais,-49.35,70.2167,6.6,96,100,16.2,TF,1731877460
26,chany,55.3121,76.7647,-1.52,93,80,7.67,RU,1731877461
27,isafjordur,66.0755,-23.124,-6.39,67,100,7.35,IS,1731877462
28,camarinas,43.1311,-9.1817,13.29,89,100,5.38,ES,1731877465
29,whitehorse,60.7161,-135.0538,-8.32,72,100,5.14,CA,1731877361
30,creel,27.75,-107.6333,7.15,72,65,11.06,MX,1731877467
31,tazovsky,67.4667,78.7,-9.92,96,92,3.12,RU,1731877468
32,yamada,39.4667,141.95,4.38,73,100,5.43,JP,1731877469
33,kavaratti,10.5669,72.642,28.09,77,41,1.48,IN,1731877470
34,codrington,-38.2667,141.9667,13.28,64,63,7.42,AU,1731877472
35,bredasdorp,-34.5322,20.0403,16.59,87,0,1.82,ZA,1731877473
36,moose jaw,50.4001,-105.5344,9.14,37,100,7.72,CA,1731877208
37,edinburgh of the seven seas,-37.0676,-12.3116,12.27,64,34,5.11,SH,1731877475
38,qamdo,31.1667,97.2333,-2.08,68,5,1.18,CN,1731877476
39,mulayjah,27.271,48.4242,23.54,22,0,3.6,SA,1731877477
40,flying fish cove,-10.4217,105.6791,25.82,94,100,3.6,CX,1731877229
41,badger,64.8,-147.5333,-17.33,77,0,0.0,US,1731877198
42,besisahar,28.2313,84.3761,13.02,44,0,2.85,NP,1731877481
43,nar'yan-mar,67.6713,53.087,-12.68,96,55,3.38,RU,1731877482
44,gjovik,60.7947,10.6929,1.51,68,100,1.41,NO,1731877483
45,thompson,55.7435,-97.8558,-1.91,93,100,2.06,CA,1731877484
46,port alfred,-33.5906,26.891,17.88,90,0,6.69,ZA,1731877485
47,lihue,21.9789,-159.3672,26.77,72,75,8.23,US,1731877486
48,college,64.8569,-147.8028,-16.72,79,75,0.0,US,1731877487
49,alice springs,-23.7,133.8833,19.75,40,75,2.57,AU,1731877271
50,tepelene,40.2958,20.0192,7.3,86,7,0.72,AL,1731877490
51,barabinsk,55.3571,78.357,-2.42,92,90,7.86,RU,1731877491
52,ola,59.5833,151.2833,-1.03,84,100,21.42,RU,1731877492
53,rikaze,29.25,88.8833,-1.11,43,0,1.72,CN,1731877493
